title,episodes,score,year,type,status,rating,duration,genres,studios,duration_min
Ai Yori Aoshi,24.0,7.1,2002,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Comedy', 'Drama', 'Romance']",['J.C.Staff'],23.0
Appleseed (Movie),1.0,7.05,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 45 min,['Sci-Fi'],['Digital Frontier'],1.0
Arc the Lad,26.0,6.51,1999,TV,Finished Airing,R - 17+ (violence & profanity),22 min per ep,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",['Bee Train'],22.0
Avenger,13.0,5.88,2003,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Adventure', 'Fantasy', 'Sci-Fi']",['Bee Train'],23.0
Beck,26.0,8.29,2004,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,['Drama'],['Madhouse'],24.0
Blue Gender,26.0,7.01,1999,TV,Finished Airing,R+ - Mild Nudity,23 min per ep,"['Adventure', 'Drama', 'Horror', 'Sci-Fi']",['AIC'],23.0
Chobits,26.0,7.39,2002,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']",['Madhouse'],24.0
Chrno Crusade,24.0,7.6,2003,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Action', 'Romance', 'Supernatural']",['Gonzo'],23.0
D.N.Angel,26.0,7.16,2003,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Comedy', 'Fantasy', 'Romance']",['Xebec'],23.0
D.C.: Da Capo,26.0,6.71,2003,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Drama', 'Romance']","['feel.', 'Zexcs']",23.0
DearS,12.0,6.54,2004,TV,Finished Airing,R+ - Mild Nudity,23 min per ep,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",['Daume'],23.0
Rozen Maiden,12.0,7.41,2004,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Drama', 'Supernatural']",['Nomad'],24.0
Rozen Maiden: Träumend,12.0,7.61,2005,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Drama', 'Supernatural']",['Nomad'],24.0
Azumanga Daiou The Animation,26.0,8.07,2002,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,['Comedy'],['J.C.Staff'],24.0
Basilisk: Kouga Ninpou Chou,24.0,7.53,2005,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,"['Action', 'Drama', 'Romance']",['Gonzo'],24.0
Black Cat,23.0,7.31,2005,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Adventure', 'Sci-Fi']",['Gonzo'],24.0
Cluster Edge,25.0,6.33,2005,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Fantasy', 'Sci-Fi']",['Sunrise'],24.0
Full Metal Panic!,24.0,7.59,2002,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,['Comedy'],['Gonzo'],24.0
Full Metal Panic? Fumoffu,12.0,8.01,2003,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Comedy']",['Kyoto Animation'],24.0
Full Metal Panic! The Second Raid,13.0,7.91,2005,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,[],['Kyoto Animation'],24.0
Gakuen Alice,26.0,7.64,2004,TV,Finished Airing,G - All Ages,25 min per ep,['Comedy'],['Group TAC'],25.0
Soukyuu no Fafner: Dead Aggressor,25.0,7.26,2004,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Sci-Fi']",['Xebec'],24.0
Mahou Shoujo Lyrical Nanoha,13.0,7.41,2004,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Action', 'Comedy', 'Drama']",['Seven Arcs'],25.0
Mahou Shoujo Lyrical Nanoha A's,13.0,7.96,2005,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Action', 'Comedy', 'Drama']",['Seven Arcs'],25.0
Shuffle!,24.0,7.0,2005,TV,Finished Airing,R+ - Mild Nudity,24 min per ep,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",['asread.'],24.0
Kidou Senshi Gundam,43.0,7.77,1979,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Sci-Fi']",['Sunrise'],24.0
Kidou Senshi Gundam: Dai 08 MS Shoutai,12.0,8.0,0,OVA,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Romance', 'Sci-Fi']",['Sunrise'],24.0
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,6.0,8.01,0,OVA,Finished Airing,PG-13 - Teens 13 or older,27 min per ep,"['Drama', 'Sci-Fi']",['Sunrise'],27.0
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,1.0,6.74,0,Movie,Finished Airing,PG-13 - Teens 13 or older,52 min,"['Drama', 'Romance', 'Sci-Fi']",['Sunrise'],52.0
Kidou Senshi Gundam 0083: Stardust Memory,13.0,7.21,0,OVA,Finished Airing,PG-13 - Teens 13 or older,28 min per ep,"['Drama', 'Romance', 'Sci-Fi']",['Sunrise'],28.0
Kidou Senshi Zeta Gundam,50.0,7.9,1985,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Romance', 'Sci-Fi']",['Sunrise'],24.0
Kidou Senshi Gundam ZZ,47.0,6.69,1986,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Drama', 'Sci-Fi']",['Sunrise'],24.0
Kidou Senshi Gundam: Gyakushuu no Char,1.0,7.7,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 59 min,"['Drama', 'Sci-Fi']",['Sunrise'],1.0
Kidou Senshi Gundam F91,1.0,6.59,0,Movie,Finished Airing,PG-13 - Teens 13 or older,2 hr,"['Drama', 'Sci-Fi']",['Sunrise'],2.0
Kidou Senshi Victory Gundam,51.0,6.73,1993,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Sci-Fi']",['Sunrise'],24.0
Shin Kidou Senki Gundam Wing,49.0,7.66,1995,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Sci-Fi']",['Sunrise'],24.0
Shin Kidou Senki Gundam Wing: Endless Waltz,3.0,7.73,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min per ep,"['Award Winning', 'Drama', 'Sci-Fi']",['Sunrise'],30.0
Kidou Shinseiki Gundam X,39.0,7.35,1996,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Adventure', 'Drama', 'Sci-Fi']",['Sunrise'],24.0
Kidou Senshi Gundam SEED,50.0,7.73,2002,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,"['Award Winning', 'Drama', 'Romance', 'Sci-Fi']",['Sunrise'],24.0
Kidou Senshi Gundam SEED Destiny,50.0,7.17,2004,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,"['Drama', 'Romance', 'Sci-Fi']",['Sunrise'],24.0
Turn A Gundam,50.0,7.81,1999,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Adventure', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",['Sunrise'],24.0
