title,episodes,score,year,type,status,rating,duration,genres,studios,duration_min
Onna Senshi Efe & Jira: Gude no Monshou,1.0,5.72,0,Movie,Finished Airing,PG-13 - Teens 13 or older,45 min,"['Adventure', 'Fantasy']",['J.C.Staff'],45.0
Guy: Youma Kakusei,2.0,5.55,0,OVA,Finished Airing,Rx - Hentai,35 min per ep,"['Action', 'Sci-Fi', 'Hentai']",['AIC'],35.0
Hana yori Dango (Movie),1.0,6.31,0,Movie,Finished Airing,PG-13 - Teens 13 or older,30 min,"['Drama', 'Romance']",['Toei Animation'],30.0
Idol Project,4.0,5.86,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min per ep,"['Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",['Studio OX'],30.0
Hengen Taima Yakou Karura Mau! Sendai Kokeshi Enka,6.0,6.48,0,OVA,Finished Airing,R - 17+ (violence & profanity),27 min per ep,['Horror'],[],27.0
Kerokero Chime,30.0,6.67,1997,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Adventure', 'Comedy', 'Fantasy']",['Studio Comet'],24.0
Kiko-chan Smile,51.0,6.61,1996,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Adventure', 'Comedy']","['Shaft', 'E&G Films', 'Magic Bus', 'Office AO', 'Takahashi Studio']",25.0
Kindaichi Shounen no Jikenbo,148.0,7.96,1997,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,['Mystery'],['Toei Animation'],24.0
Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin,1.0,7.12,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 35 min,['Mystery'],['Toei Animation'],1.0
Landlock,2.0,5.53,0,OVA,Finished Airing,PG-13 - Teens 13 or older,45 min per ep,"['Adventure', 'Fantasy', 'Sci-Fi']",['Sanctuary'],45.0
Majuu Senshi Luna Varga,4.0,6.1,0,OVA,Finished Airing,R+ - Mild Nudity,28 min per ep,"['Adventure', 'Comedy', 'Fantasy', 'Ecchi']","['AIC', 'Studio Hakk']",28.0
Majokko Club Yoningumi: A Kuukan kara no Alien X,1.0,6.01,0,OVA,Finished Airing,PG-13 - Teens 13 or older,27 min,"['Action', 'Comedy', 'Sci-Fi']",['Studio Pierrot'],27.0
Makeruna! Makendou,1.0,5.67,0,OVA,Finished Airing,R+ - Mild Nudity,26 min,['Comedy'],['OLM'],26.0
Marriage: Kekkon,2.0,5.43,0,OVA,Finished Airing,PG-13 - Teens 13 or older,27 min per ep,['Romance'],['Sofix'],27.0
Natsuki Crisis,2.0,6.22,0,OVA,Finished Airing,PG-13 - Teens 13 or older,29 min per ep,['Action'],['Madhouse'],29.0
NG Knight Ramune & 40,38.0,7.14,1990,TV,Finished Airing,PG-13 - Teens 13 or older,22 min per ep,"['Adventure', 'Comedy', 'Fantasy']",['Ashi Productions'],22.0
NG Knight Ramune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen,3.0,6.57,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min per ep,"['Adventure', 'Comedy', 'Fantasy']",['Ashi Productions'],30.0
NG Knight Ramune & 40 DX: Wakuwaku Jikuu - Honoo no Daisousasen,3.0,6.6,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min per ep,"['Adventure', 'Comedy', 'Fantasy']",['Ashi Productions'],30.0
VS Knight Lamune & 40 Fire,26.0,7.08,1996,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Comedy', 'Fantasy']",['Ashi Productions'],23.0
Nora,1.0,4.39,0,OVA,Finished Airing,PG-13 - Teens 13 or older,56 min,"['Adventure', 'Sci-Fi']",['Filmlink International'],56.0
Choujikuu Seiki Orguss,35.0,6.55,1983,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Adventure', 'Romance', 'Sci-Fi']",['Tokyo Movie Shinsha'],25.0
Choujikuu Seiki Orguss 02,6.0,6.83,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min per ep,"['Adventure', 'Romance', 'Sci-Fi']",['J.C.Staff'],30.0
Oshare Kozou wa Hanamaru,1.0,5.24,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min,['Romance'],['Madhouse'],30.0
Kiss wa Hitomi ni Shite,1.0,5.72,0,OVA,Finished Airing,PG-13 - Teens 13 or older,31 min,"['Drama', 'Romance']",['Madhouse'],31.0
Pops,1.0,5.1,0,OVA,Finished Airing,PG-13 - Teens 13 or older,31 min,['Romance'],['Madhouse'],31.0
Relic Armor Legaciam,1.0,5.68,0,OVA,Finished Airing,PG-13 - Teens 13 or older,49 min,['Sci-Fi'],[],49.0
Salamander,3.0,6.17,0,OVA,Finished Airing,R+ - Mild Nudity,53 min per ep,"['Adventure', 'Sci-Fi']",['Studio Pierrot'],53.0
Sequence,1.0,5.65,0,OVA,Finished Airing,G - All Ages,42 min,"['Romance', 'Sci-Fi']",['Ashi Productions'],42.0
Tokumu Sentai Shinesman,2.0,6.62,0,OVA,Finished Airing,PG-13 - Teens 13 or older,27 min per ep,"['Action', 'Comedy', 'Sci-Fi']",['Production I.G'],27.0
"Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari",1.0,7.37,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 35 min,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Ecchi']",['Studio Pierrot'],1.0
Silent Möbius: The Motion Picture,1.0,6.25,0,Movie,Finished Airing,R+ - Mild Nudity,53 min,"['Adventure', 'Sci-Fi', 'Supernatural']",['AIC'],53.0
Silent Möbius 2,1.0,6.26,0,Movie,Finished Airing,PG-13 - Teens 13 or older,58 min,"['Adventure', 'Fantasy', 'Sci-Fi']",['AIC'],58.0
Singles,1.0,5.37,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min,['Romance'],['Madhouse'],30.0
Tattoon Master,2.0,6.15,0,OVA,Finished Airing,PG-13 - Teens 13 or older,28 min per ep,"['Adventure', 'Comedy', 'Supernatural']",['AIC'],28.0
TO-Y,1.0,6.27,0,OVA,Finished Airing,R+ - Mild Nudity,53 min,['Drama'],['Gallop'],53.0
Seto no Hanayome,26.0,7.65,2007,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Romance', 'Supernatural']","['Gonzo', 'AIC']",24.0
Touka Gettan,26.0,6.49,2007,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Drama', 'Fantasy', 'Romance', 'Ecchi']",['Studio Deen'],23.0
Kiss Dum: Engage Planet,26.0,6.53,2007,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,['Sci-Fi'],['Satelight'],24.0
One Piece Movie 08: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,1.0,7.3,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 30 min,"['Action', 'Adventure', 'Fantasy']",['Toei Animation'],1.0
Rockman.EXE Axess,51.0,7.15,2003,TV,Finished Airing,PG - Children,24 min per ep,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Xebec'],24.0
Rockman.EXE Stream,51.0,7.09,2004,TV,Finished Airing,PG - Children,25 min per ep,"['Adventure', 'Sci-Fi']",['Xebec'],25.0
Rockman.EXE Beast,25.0,7.07,2005,TV,Finished Airing,PG - Children,25 min per ep,"['Adventure', 'Sci-Fi']",['Xebec'],25.0
Rockman.EXE Movie: Hikari to Yami no Program,1.0,7.18,0,Movie,Finished Airing,PG - Children,48 min,"['Action', 'Adventure']",['Xebec'],48.0
Over Drive,26.0,7.52,2007,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Sports'],['Xebec'],23.0
Tenkuu Senki Shurato,38.0,7.19,1989,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Fantasy']",['Tatsunoko Production'],24.0
Tenkuu Senki Shurato: Sousei e no Antou,6.0,6.44,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min per ep,"['Action', 'Fantasy']",['Tatsunoko Production'],30.0
Captain Tsubasa,128.0,7.36,1983,TV,Finished Airing,G - All Ages,24 min per ep,['Sports'],['Tsuchida Productions'],24.0
Shin Captain Tsubasa,13.0,7.17,0,OVA,Finished Airing,G - All Ages,26 min per ep,['Sports'],"['J.C.Staff', 'animate Film']",26.0
Captain Tsubasa: Europe Daikessen,1.0,6.88,0,Movie,Finished Airing,G - All Ages,42 min,['Sports'],['Tsuchida Productions'],42.0
Captain Tsubasa: Ayaushi! Zen Nihon Jr.,1.0,6.79,0,Movie,Finished Airing,G - All Ages,1 hr,['Sports'],['Tsuchida Productions'],1.0
Captain Tsubasa: Asu ni Mukatte Hashire!,1.0,6.68,0,Movie,Finished Airing,G - All Ages,35 min,['Sports'],['Tsuchida Productions'],35.0
Captain Tsubasa: Sekai Daikessen!! Jr. World Cup,1.0,6.86,0,Movie,Finished Airing,G - All Ages,57 min,['Sports'],['Tsuchida Productions'],57.0
Captain Tsubasa: Saikyou no Teki! Holland Youth,1.0,6.86,0,OVA,Finished Airing,G - All Ages,47 min,['Sports'],['J.C.Staff'],47.0
Digimon X-Evolution,1.0,7.06,0,Movie,Finished Airing,PG - Children,1 hr 18 min,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['Toei Animation'],1.0
Code Geass: Hangyaku no Lelouch Recaps,2.0,7.02,0,TV Special,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,['Sci-Fi'],['Sunrise'],24.0
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,2.0,7.17,0,OVA,Finished Airing,PG-13 - Teens 13 or older,26 min per ep,"['Action', 'Supernatural']",['Studio Pierrot'],26.0
Yuu☆Yuu☆Hakusho: Eizou Hakusho II,4.0,7.25,0,OVA,Finished Airing,R+ - Mild Nudity,20 min per ep,"['Action', 'Supernatural']",['Studio Pierrot'],20.0
Chouja Raideen,38.0,6.47,1996,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Adventure', 'Sci-Fi']",['Sunrise'],23.0
Yuusha Raideen,50.0,6.61,1975,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Adventure', 'Sci-Fi']",['Sunrise'],24.0
True Tears,13.0,7.26,2008,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Romance']",['P.A. Works'],24.0
Kaibutsu Oujo,25.0,6.96,2007,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Comedy', 'Horror', 'Supernatural']",['Madhouse'],24.0
Bokusatsu Tenshi Dokuro-chan 2,2.0,6.63,0,OVA,Finished Airing,R - 17+ (violence & profanity),26 min per ep,"['Comedy', 'Supernatural', 'Ecchi']",['HAL Film Maker'],26.0
Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,1.0,6.99,0,Movie,Finished Airing,PG-13 - Teens 13 or older,26 min,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",['Seven Arcs'],26.0
Mari Iyagi,1.0,6.2,0,Movie,Finished Airing,PG - Children,1 hr 18 min,"['Drama', 'Fantasy']",[],1.0
Famiresu Senshi Purin,3.0,6.3,0,OVA,Finished Airing,Rx - Hentai,29 min per ep,['Hentai'],['Big Wing'],29.0
"Sora no Iro, Mizu no Iro",2.0,7.14,0,OVA,Finished Airing,Rx - Hentai,28 min per ep,['Hentai'],['Himajin Planning'],28.0
Front Innocent: Mou Hitotsu no Lady Innocent,1.0,6.87,0,OVA,Finished Airing,Rx - Hentai,28 min,['Hentai'],['Arms'],28.0
Haitokuzuma,2.0,6.05,0,OVA,Finished Airing,Rx - Hentai,28 min per ep,['Hentai'],['Sunny Side Up'],28.0
Kage (OVA),4.0,6.3,0,OVA,Finished Airing,Rx - Hentai,29 min per ep,"['Action', 'Hentai']",['APPP'],29.0
Kakyuusei 2: Anthology,2.0,6.09,0,OVA,Finished Airing,Rx - Hentai,29 min per ep,"['Drama', 'Hentai']",['Inugoya'],29.0
Aniyome,2.0,6.35,0,OVA,Finished Airing,Rx - Hentai,27 min per ep,['Hentai'],['Y.O.U.C'],27.0
Oseam,1.0,7.08,0,Movie,Finished Airing,G - All Ages,1 hr 17 min,"['Adventure', 'Drama', 'Supernatural']",[],1.0
Blue Dragon,51.0,6.41,2007,TV,Finished Airing,PG - Children,24 min per ep,"['Adventure', 'Comedy', 'Fantasy']",['Studio Pierrot'],24.0
Saiyuuki Reload: Burial,3.0,7.72,0,OVA,Finished Airing,PG-13 - Teens 13 or older,33 min per ep,"['Action', 'Adventure', 'Drama', 'Fantasy']","['Studio Pierrot', 'Arms']",33.0
Naruto Movie 3: Dai Koufun! Mikazuki-jima no Animal Panic Dattebayo!,1.0,6.93,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 34 min,"['Action', 'Adventure', 'Fantasy']",['Studio Pierrot'],1.0
Black Gate: Kanin no Gakuen,2.0,5.81,0,OVA,Finished Airing,Rx - Hentai,28 min per ep,"['Fantasy', 'Hentai']",['Studio Jam'],28.0
Canary,1.0,4.54,0,OVA,Finished Airing,PG-13 - Teens 13 or older,26 min,"['Fantasy', 'Romance']",['Soeishinsha'],26.0
Call Me Tonight,1.0,5.35,0,OVA,Finished Airing,R+ - Mild Nudity,29 min,"['Comedy', 'Horror', 'Romance', 'Sci-Fi']",['AIC'],29.0
Okane ga Nai,4.0,6.11,0,OVA,Finished Airing,R+ - Mild Nudity,29 min per ep,"['Boys Love', 'Drama', 'Erotica']",['Lyrics'],29.0
Tanoshii Muumin Ikka,78.0,8.29,1990,TV,Finished Airing,G - All Ages,24 min per ep,"['Adventure', 'Fantasy', 'Slice of Life']",['Telescreen'],24.0
Nils no Fushigi na Tabi,52.0,7.17,1980,TV,Finished Airing,G - All Ages,29 min per ep,"['Adventure', 'Fantasy']",['Studio Pierrot'],29.0
Oh! Edo Rocket,26.0,7.2,2007,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",['Madhouse'],24.0
Saint Beast: Kouin Jojishi Tenshi Tan,13.0,6.37,2007,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,['Fantasy'],"['Tokyo Kids', 'Yuhodo']",25.0
Tekkon Kinkreet,1.0,7.94,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 50 min,"['Action', 'Adventure', 'Award Winning', 'Supernatural', 'Suspense']",['Studio 4°C'],1.0
Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,13.0,6.16,2007,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,['Romance'],['Artland'],24.0
Bakugan Battle Brawlers,52.0,6.5,2007,TV,Finished Airing,PG - Children,24 min per ep,"['Action', 'Fantasy']",['TMS Entertainment'],24.0
Koutetsushin Jeeg,13.0,6.94,2007,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Sci-Fi'],['Actas'],23.0
Terra e... (TV),24.0,7.85,2007,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Drama', 'Sci-Fi']","['Tokyo Kids', 'Minami Machi Bugyousho']",24.0
Ookiku Furikabutte,25.0,7.87,2007,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,['Sports'],['A-1 Pictures'],24.0
Skull Man,13.0,6.59,2007,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Mystery', 'Supernatural']",['Bones'],23.0
Koutetsu Sangokushi,25.0,6.28,2007,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Adventure'],['Picture Magic'],23.0
AIKa R-16: Virgin Mission,3.0,5.89,0,OVA,Finished Airing,R+ - Mild Nudity,26 min per ep,"['Action', 'Comedy', 'Ecchi']",['Studio Fantasia'],26.0
Dennou Coil,26.0,8.02,2007,TV,Finished Airing,G - All Ages,25 min per ep,"['Adventure', 'Award Winning', 'Drama', 'Mystery', 'Sci-Fi']",['Madhouse'],25.0
Gegege no Kitarou (2007),100.0,7.04,2007,TV,Finished Airing,G - All Ages,23 min per ep,"['Comedy', 'Fantasy', 'Horror']",['Toei Animation'],23.0
Doujin Work,12.0,6.75,2007,TV,Finished Airing,PG-13 - Teens 13 or older,13 min per ep,['Comedy'],['Remic'],13.0
Clannad,23.0,7.99,2007,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Romance']",['Kyoto Animation'],24.0
Sakura Taisen: New York,6.0,6.38,0,OVA,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Adventure', 'Comedy', 'Sci-Fi']",['AIC'],24.0
Ice,3.0,5.29,0,OVA,Finished Airing,R - 17+ (violence & profanity),37 min per ep,"['Action', 'Girls Love', 'Sci-Fi']",['PPM'],37.0
Sousei no Aquarion OVA,2.0,7.05,0,OVA,Finished Airing,R+ - Mild Nudity,54 min per ep,"['Romance', 'Sci-Fi', 'Supernatural']",['Satelight'],54.0
Meitantei Conan Movie 11: Konpeki no Jolly Roger,1.0,7.42,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 45 min,"['Adventure', 'Comedy', 'Mystery']",['TMS Entertainment'],1.0
Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,1.0,6.88,0,Movie,Finished Airing,G - All Ages,1 hr 42 min,"['Comedy', 'Ecchi']",['Shin-Ei Animation'],1.0
Kouchuu Ouja Mushiking Super Battle Movie: Yami no Kaizou Kouchuu,1.0,5.99,0,Movie,Finished Airing,G - All Ages,50 min,"['Adventure', 'Fantasy']",['TMS Entertainment'],50.0
Hokuto no Ken: Raoh Gaiden Gekitou-hen,1.0,7.57,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 29 min,"['Action', 'Adventure', 'Romance']",['TMS Entertainment'],1.0
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,1.0,7.66,0,Movie,Finished Airing,R - 17+ (violence & profanity),28 min,"['Adventure', 'Drama', 'Fantasy']",['Shaft'],28.0
Kiddy Grade: Ignition,1.0,7.0,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 24 min,['Sci-Fi'],"['Gonzo', 'asread.']",1.0
Highlander: The Search for Vengeance,1.0,6.71,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 36 min,"['Action', 'Horror', 'Sci-Fi']",['Madhouse'],1.0
Tokimeki Memorial: Forever With You,2.0,6.11,0,OVA,Finished Airing,PG-13 - Teens 13 or older,41 min per ep,"['Drama', 'Romance']",['Studio Pierrot'],41.0
Slow Step,5.0,6.44,0,OVA,Finished Airing,PG-13 - Teens 13 or older,43 min per ep,"['Comedy', 'Romance', 'Sports']",['Pastel'],43.0
TANK S.W.A.T. 01,1.0,4.66,0,OVA,Finished Airing,PG-13 - Teens 13 or older,29 min,['Sci-Fi'],['DOGA Productions'],29.0
Robot Carnival,1.0,7.22,0,OVA,Finished Airing,PG-13 - Teens 13 or older,1 hr 31 min,"['Fantasy', 'Sci-Fi']",['APPP'],1.0
Ayane-chan High Kick!,2.0,5.88,0,OVA,Finished Airing,PG-13 - Teens 13 or older,27 min per ep,"['Comedy', 'Sports']",['Rikuentai'],27.0
Words Worth Gaiden,2.0,5.73,0,OVA,Finished Airing,Rx - Hentai,27 min per ep,"['Action', 'Adventure', 'Fantasy', 'Hentai']",['Arms'],27.0
Maid no Yakata: Zetsubou-hen,2.0,5.42,0,OVA,Finished Airing,Rx - Hentai,28 min per ep,['Hentai'],['Y.O.U.C'],28.0
Shuudan Chikan Densha,2.0,5.86,0,OVA,Finished Airing,Rx - Hentai,26 min per ep,['Hentai'],['Y.O.U.C'],26.0
Maid in Heaven SuperS,2.0,6.44,0,OVA,Finished Airing,Rx - Hentai,27 min per ep,['Hentai'],['Shinkuukan'],27.0
Shinseiki Inma Seiden,6.0,6.12,0,OVA,Finished Airing,Rx - Hentai,27 min per ep,"['Supernatural', 'Hentai']",['Arms'],27.0
Tsubaki-iro no Prigione,3.0,5.35,0,OVA,Finished Airing,Rx - Hentai,30 min per ep,['Hentai'],['Shinkuukan'],30.0
Waver,3.0,6.09,0,OVA,Finished Airing,Rx - Hentai,29 min per ep,['Hentai'],['Shindeban Film'],29.0
Saiunkoku Monogatari Recaps,9.0,7.2,0,Special,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Adventure', 'Fantasy', 'Romance']",['Madhouse'],25.0
Mejoku,2.0,6.26,0,OVA,Finished Airing,Rx - Hentai,29 min per ep,['Hentai'],['Y.O.U.C'],29.0
Heisa Byouin,2.0,5.83,0,OVA,Finished Airing,Rx - Hentai,28 min per ep,['Hentai'],['Y.O.U.C'],28.0
Genmu Senki Leda,1.0,6.34,0,OVA,Finished Airing,PG-13 - Teens 13 or older,1 hr 10 min,"['Adventure', 'Fantasy', 'Sci-Fi']",['Kaname Productions'],1.0
Aa! Megami-sama! Sorezore no Tsubasa Specials,2.0,7.49,0,Special,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Romance', 'Supernatural']",['AIC'],24.0
Chirin no Suzu,1.0,7.16,0,Movie,Finished Airing,PG-13 - Teens 13 or older,46 min,"['Adventure', 'Drama', 'Fantasy']",['Sunrise'],46.0
Muteki Choujin Zambot 3,23.0,7.12,1977,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Sci-Fi']",['Sunrise'],24.0
Pokemon Movie 09: Pokemon Ranger to Umi no Ouji Manaphy,1.0,6.8,0,Movie,Finished Airing,PG - Children,1 hr 45 min,"['Action', 'Adventure', 'Drama', 'Fantasy']",['OLM'],1.0
Waga Seishun no Arcadia,1.0,7.49,0,Movie,Finished Airing,PG-13 - Teens 13 or older,2 hr 10 min,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Toei Animation'],2.0
Waga Seishun no Arcadia: Mugen Kidou SSX,22.0,7.39,1982,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Toei Animation'],25.0
Karakuri Zoushi Ayatsuri Sakon,26.0,7.37,1999,TV,Finished Airing,R - 17+ (violence & profanity),25 min per ep,"['Mystery', 'Suspense']",['TMS Entertainment'],25.0
Bakuretsu Tenshi: Infinity,1.0,6.73,0,OVA,Finished Airing,PG-13 - Teens 13 or older,25 min,"['Comedy', 'Sci-Fi']",['Gonzo'],25.0
Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,1.0,6.9,0,OVA,Finished Airing,PG-13 - Teens 13 or older,13 min,"['Comedy', 'Sci-Fi']",['Madhouse'],13.0
Hamelin no Violin Hiki: The Movie,1.0,6.37,0,Movie,Finished Airing,PG-13 - Teens 13 or older,29 min,"['Adventure', 'Comedy', 'Fantasy']",['Nippon Animation'],29.0
Flutter of Birds II: Tenshi-tachi no Tsubasa,2.0,5.53,0,OVA,Finished Airing,Rx - Hentai,31 min per ep,"['Drama', 'Hentai']",['Arms'],31.0
V.G.Neo The Animation,3.0,5.62,0,OVA,Finished Airing,Rx - Hentai,29 min per ep,"['Action', 'Hentai']",['Studio Jam'],29.0
Tooi Sekai,1.0,6.22,0,ONA,Finished Airing,PG-13 - Teens 13 or older,1 min,"['Drama', 'Romance']",[],1.0
Jumping,1.0,6.48,0,Movie,Finished Airing,G - All Ages,6 min,['Adventure'],['Tezuka Productions'],6.0
Bakuretsu Tenshi: Infinity Special,1.0,6.65,0,Special,Finished Airing,PG-13 - Teens 13 or older,2 min,['Sci-Fi'],['Gonzo'],2.0
Black Jack (TV),61.0,7.6,2004,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,['Drama'],['Tezuka Productions'],25.0
Black Jack 21,17.0,7.55,2006,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Drama']",['Tezuka Productions'],24.0
Kishin Taisen Gigantic Formula,26.0,6.8,2007,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,['Sci-Fi'],"[""Brain's Base""]",24.0
Shigurui,12.0,7.35,2007,TV,Finished Airing,R+ - Mild Nudity,23 min per ep,"['Action', 'Drama', 'Suspense']",['Madhouse'],23.0
Hand Maid May: Akiramemasen,1.0,6.72,0,Special,Finished Airing,PG-13 - Teens 13 or older,27 min,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",['Ashi Productions'],27.0
Fujimi 2-choume Koukyougakudan,1.0,5.44,0,OVA,Finished Airing,PG-13 - Teens 13 or older,1 hr,"['Boys Love', 'Drama', 'Suspense', 'Erotica']",['Bee Media'],1.0
Ryokunohara Labyrinth: Sparkling Phantom,1.0,4.95,0,OVA,Finished Airing,PG-13 - Teens 13 or older,39 min,"['Avant Garde', 'Boys Love', 'Drama', 'Supernatural']",['AIC'],39.0
Be-Boy Kidnapp'n Idol,1.0,5.46,0,OVA,Finished Airing,PG-13 - Teens 13 or older,26 min,"['Boys Love', 'Drama']",['AIC'],26.0
Aishite Knight,42.0,6.84,1983,TV,Finished Airing,G - All Ages,25 min per ep,"['Comedy', 'Romance']",['Toei Animation'],25.0
Dr. Slump: Arale-chan,243.0,7.23,1981,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Comedy', 'Sci-Fi']",['Toei Animation'],25.0
Maple Town Monogatari,52.0,6.95,1986,TV,Finished Airing,G - All Ages,24 min per ep,"['Fantasy', 'Slice of Life']",['Toei Animation'],24.0
Hikari no Densetsu,19.0,6.68,1986,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Romance', 'Sports']",['Tatsunoko Production'],24.0
Alps no Shoujo Heidi,52.0,7.43,1974,TV,Finished Airing,G - All Ages,25 min per ep,['Drama'],['Nippon Animation'],25.0
Mori no Tonto-tachi,23.0,6.24,1984,TV,Finished Airing,G - All Ages,25 min per ep,['Fantasy'],"['Nippon Animation', 'Shaft']",25.0
Lady Lady!!,21.0,7.48,1987,TV,Finished Airing,G - All Ages,23 min per ep,['Drama'],['Toei Animation'],23.0
Honoo no Toukyuuji: Dodge Danpei,47.0,7.33,1991,TV,Finished Airing,PG - Children,25 min per ep,"['Comedy', 'Sports']",['Animation 21'],25.0
Dragon Quest: Dai no Daibouken (TV),46.0,7.57,1991,TV,Finished Airing,G - All Ages,24 min per ep,"['Action', 'Adventure', 'Fantasy']",['Toei Animation'],24.0
Hana no Ko Lunlun,50.0,7.0,1979,TV,Finished Airing,G - All Ages,24 min per ep,"['Adventure', 'Drama']",['Toei Animation'],24.0
Miyuki,37.0,6.68,1983,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,['Romance'],['Kitty Film Mitaka Studio'],25.0
Funny Pets,12.0,4.92,2006,TV,Finished Airing,PG-13 - Teens 13 or older,6 min per ep,['Comedy'],[],6.0
Ocha-ken: Chokotto Monogatari,26.0,6.27,2003,TV,Finished Airing,G - All Ages,3 min per ep,['Comedy'],[],3.0
Panda-Z: The Robonimation,30.0,6.07,2004,TV,Finished Airing,PG - Children,5 min per ep,"['Comedy', 'Sci-Fi']","['Bee Media', 'Synergy Japan']",5.0
Mizu no Kotoba,1.0,6.68,0,TV Special,Finished Airing,PG-13 - Teens 13 or older,9 min,"['Drama', 'Sci-Fi', 'Suspense']",['Studio Rikka'],9.0
Toki wo Kakeru Shoujo,1.0,8.09,0,Movie,Finished Airing,G - All Ages,1 hr 38 min,"['Award Winning', 'Drama', 'Romance', 'Sci-Fi']",['Madhouse'],1.0
Rozen Maiden: Meitantei Kunkun - Duell Walzer,1.0,6.46,0,Special,Finished Airing,PG-13 - Teens 13 or older,7 min,"['Comedy', 'Mystery']",['Nomad'],7.0
Fuyu no Semi,3.0,7.44,0,OVA,Finished Airing,R - 17+ (violence & profanity),32 min per ep,"['Boys Love', 'Drama', 'Erotica']",['Venet'],32.0
